maker,model,variant,region,1000KM,5000KM,10000KM,20000KM,30000KM,40000KM,50000KM,60000KM,70000KM,80000KM,90000KM,100000KM
Toyota,COROLLA CROSS,COROLLA CROSS 1.8V (Auto),Nationwide,198,,338,338,338,588,338,338,338,588,338,338
Toyota,COROLLA CROSS,COROLLA CROSS 1.8G (Auto),Nationwide,198,,338,338,338,588,338,338,338,588,338,338
Toyota,HILUX,HILUX 2.4G (Diesel Auto),Nationwide,348,268,498,498,498,1168,498,498,498,1168,498,498
Toyota,HILUX,HILUX 2.8G (Diesel Auto),Nationwide,348,268,498,498,498,1168,498,498,498,1168,498,498
Toyota,HILUX,HILUX 2.8 (Diesel Auto),Nationwide,348,268,498,498,498,1168,498,498,498,1168,498,498
Toyota,HILUX,HILUX 2.4V (Diesel Auto),Nationwide,348,268,498,498,498,1168,498,498,498,1168,498,498
Toyota,HILUX,HILUX 2.4E (Diesel Auto),Nationwide,348,268,498,498,498,1168,498,498,498,1168,498,498
Toyota,HILUX,HILUX 3.0G (Diesel Auto),Nationwide,218,178,378,378,378,988,378,378,378,988,378,378
Toyota,HILUX,HILUX 2.5G (Diesel Auto),Nationwide,218,178,378,378,378,1098,378,378,378,1098,378,378
BYD,SEAL 6 EV,,Nationwide,,,,,,,,1688,,,,
BYD,ATTO 2,,Nationwide,,,,,,,,1688,,,,
BYD,ATTO 3 ULTRA,,Nationwide,,,,,,,,1688,,,,
BYD,DOLPHIN,,Nationwide,,,,,,,,1688,,,,
BYD,NEW BYD SEAL,,Nationwide,,,,,,,,2688,,,,
BYD,SEALION 7,,Nationwide,,,,,,,,2688,,,,
BYD,M6,,Nationwide,,,,,,,,1688,,,,
OMODA JAECOO,JAECOO,J7,Nationwide,,,405.5,405.5,622.9,505.5,405.5,1652.9,405.5,505.5,622.9,405.5
OMODA JAECOO,JAECOO,J7 PHEV,Nationwide,,,405.5,405.5,763.9,1154.3,405.5,763.9,405.5,1154.3,763.9,405.5
OMODA JAECOO,JAECOO,J8 AWD,Nationwide,,,402.5,402.5,686.1,502.5,402.5,1798.1,402.5,502.5,686.1,402.5
OMODA JAECOO,OMODA,C9,Nationwide,,,402.5,402.5,619.9,502.5,402.5,1765.9,402.5,502.5,619.9,402.5
Mitsubishi,XPANDER,XPANDER 2020 ONWARDS,Nationwide,,,279.04,384.07,340.24,646.87,279.04,1160.23,279.04,646.87,340.24,1149.34
Mitsubishi,XPANDER,XPANDER 2024 ONWARDS,Nationwide,,,279.04,368.95,340.24,616.63,279.04,452.83,279.04,616.63,340.24,1141.78
Mitsubishi,Triton,Triton Athlete,Nationwide,,,444.29,765.77,444.29,1256.77,444.29,773.33,444.29,1271.89,444.29,961.05
Mitsubishi,Triton,AT Premium,Nationwide,,,444.29,765.77,444.29,1209.18,444.29,743.09,444.29,1262.1,444.29,953.49
Mitsubishi,Triton,AT GL,Nationwide,,,444.29,765.77,444.29,1209.18,444.29,743.09,444.29,1262.1,444.29,953.49
Mitsubishi,Triton,MT GL,Nationwide,,,413.7,735.18,413.7,1128.19,413.7,712.5,413.7,1218.01,413.7,735.18
Mitsubishi,Triton,Triton Single Cab,Nationwide,,,413.7,735.18,413.7,1128.19,413.7,712.5,413.7,1218.01,413.7,735.18
Chery,OMODA 5,,Nationwide,,,405.5,403.5,622.9,773.5,547.3,570.9,405.5,773.5,622.9,545.3
Chery,TIGGO 8,PHEV CSH,Nationwide,,,405.5,442.6,713.9,1083.6,405.5,751,405.5,1083.6,713.9,442.6
Chery,TIGGO 8,PRO,Nationwide,,,385.5,386.5,669.1,436.5,977.3,620.1,385.5,436.5,669.1,928.3
Chery,TIGGO 7,PHEV CSH,Nationwide,,,405.5,442.6,713.9,1083.6,405.5,751,405.5,1083.6,713.9,442.6
Chery,TIGGO 7,PRO,Nationwide,,,405.5,406.5,622.9,456.5,1177.3,573.9,405.5,456.5,622.9,1128.3
Chery,TIGGO CROSS,1.5L + DHT (HEV),Nationwide,,,385.5,384.7,552.9,833.9,385.5,552.1,385.5,833.9,552.9,384.7
Chery,TIGGO CROSS,1.5L + 6DCT,Nationwide,,,405.5,403.5,563.1,453.5,405.5,1025.1,405.5,453.5,563.1,403.5
Chery,CHERY 05,,Nationwide,,,405.5,403.5,563.1,1175.3,405.5,561.1,405.5,1175.3,563.1,403.5
